gene1,gene2,spearman_rho
TEAD4,FOXA1,-0.52
TEAD4,CEBPB,0.681
TEAD4,S100A9,0.548
TEAD4,PI3,0.511
TEAD4,IL36G,0.631
TEAD4,KRT16,0.507
TEAD4,SERPINB4,0.537
GATA3,GATA6,0.513
GATA3,FOXC1,0.576
GATA3,TBX3,0.558
GATA3,MYC,-0.507
GATA3,CEBPB,-0.518
GATA3,S100A9,-0.747
GATA3,S100A7,-0.739
GATA3,PI3,-0.726
GATA3,IL36G,-0.78
GATA3,KRT16,-0.76
GATA3,SERPINB4,-0.762
GATA6,FOXC1,0.719
GATA6,TBX3,0.561
GATA6,TBX15,0.558
GATA6,CEBPB,-0.536
GATA6,S100A9,-0.632
GATA6,S100A7,-0.515
GATA6,PI3,-0.597
GATA6,IL36G,-0.679
GATA6,KRT16,-0.553
GATA6,SERPINB4,-0.589
FOXC1,FOXA1,0.617
FOXC1,TBX3,0.843
FOXC1,CEBPB,-0.599
FOXC1,S100A9,-0.726
FOXC1,S100A7,-0.716
FOXC1,PI3,-0.753
FOXC1,IL36G,-0.802
FOXC1,KRT16,-0.679
FOXC1,SERPINB4,-0.707
FOXA1,TBX3,0.653
FOXA1,CEBPB,-0.543
FOXA1,S100A9,-0.518
FOXA1,PI3,-0.537
FOXA1,IL36G,-0.576
FOXA1,SERPINB4,-0.507
IRX1,TBX15,0.718
IRX1,MYC,-0.635
IRX1,STAT3,-0.651
IRX1,CEBPB,-0.594
IRX1,S100A9,-0.631
IRX1,IL36G,-0.586
IRX1,KRT16,-0.582
IRX1,SERPINB4,-0.635
TBX3,CEBPB,-0.623
TBX3,S100A9,-0.734
TBX3,S100A7,-0.665
TBX3,PI3,-0.755
TBX3,IL36G,-0.763
TBX3,KRT16,-0.725
TBX3,SERPINB4,-0.749
TBX15,SIX1,0.577
TBX15,MYC,-0.572
TBX15,CEBPB,-0.517
TBX15,S100A9,-0.617
TBX15,IL36G,-0.501
TBX15,KRT16,-0.549
TBX15,SERPINB4,-0.56
MYC,STAT3,0.628
MYC,CEBPB,0.638
MYC,S100A9,0.586
MYC,IL36G,0.601
MYC,KRT16,0.577
MYC,SERPINB4,0.555
STAT3,CEBPB,0.613
STAT3,S100A9,0.573
STAT3,IL36G,0.574
STAT3,KRT16,0.569
STAT3,SERPINB4,0.588
CEBPB,S100A9,0.699
CEBPB,S100A7,0.621
CEBPB,PI3,0.639
CEBPB,IL36G,0.764
CEBPB,KRT16,0.666
CEBPB,SERPINB4,0.675
S100A9,S100A7,0.814
S100A9,PI3,0.858
S100A9,IL36G,0.866
S100A9,KRT16,0.85
S100A9,SERPINB4,0.916
S100A7,PI3,0.879
S100A7,IL36G,0.83
S100A7,KRT16,0.783
S100A7,SERPINB4,0.777
PI3,IL36G,0.851
PI3,KRT16,0.842
PI3,SERPINB4,0.862
IL36G,KRT16,0.819
IL36G,SERPINB4,0.859
KRT16,SERPINB4,0.869
