node,type
TEAD4,target
YAP1- and WWTR1 (TAZ)-stimulated gene expression,pathway
Generic Transcription Pathway,pathway
Co-inhibition by PD-1,pathway
Transcriptional regulation by RUNX3,pathway
RUNX3 regulates YAP1-mediated transcription,pathway
STAT3,target
Interleukin-6 signaling,pathway
BH3-only proteins associate with and inactivate an,pathway
Interleukin-7 signaling,pathway
Signaling by SCF-KIT,pathway
Signaling by cytosolic FGFR1 fusion mutants,pathway
MYC,target
Transcription of E2F targets under negative contro,pathway
G0 and Early G1,pathway
Degradation of beta-catenin by the destruction com,pathway
Signaling by ALK,pathway
TCF dependent signaling in response to WNT,pathway
CEBPB,target
Senescence-Associated Secretory Phenotype (SASP),pathway
ATF4 activates genes in response to endoplasmic re,pathway
PERK regulates gene expression,pathway
Transcriptional regulation of white adipocyte diff,pathway
GATA3,target
Ub-specific processing proteases,pathway
Interleukin-4 and Interleukin-13 signaling,pathway
Transcriptional regulation by RUNX1,pathway
ESR-mediated signaling,pathway
FOXC1,target
Formation of intermediate mesoderm,pathway
Formation of the ureteric bud,pathway
NOD2,target
Toll Like Receptor 4 (TLR4) Cascade,pathway
MyD88:MAL(TIRAP) cascade initiated on plasma membr,pathway
MyD88-independent TLR4 cascade ,pathway
Toll Like Receptor 9 (TLR9) Cascade,pathway
Toll Like Receptor 10 (TLR10) Cascade,pathway
IFIH1,target
DDX58/IFIH1-mediated induction of interferon-alpha,pathway
Ovarian tumor domain proteases,pathway
TRAF3-dependent IRF activation pathway,pathway
TRAF6 mediated IRF7 activation,pathway
IL23R,target
Interleukin-23 signaling,pathway
TYK2,target
MAPK3 (ERK1) activation,pathway
RAF-independent MAPK1/3 activation,pathway
MAPK1 (ERK2) activation,pathway
Adherens junctions interactions,pathway
RORC,target
Nuclear Receptor transcription pathway,pathway
RUNX3 Regulates Immune Response and Cell Migration,pathway
IL17A,target
Interleukin-17 signaling,pathway
SARS-CoV-2 activates/modulates innate and adaptive,pathway
S100A9,target
ER-Phagosome pathway,pathway
Toll Like Receptor TLR1:TLR2 Cascade,pathway
Toll Like Receptor TLR6:TLR2 Cascade,pathway
DEFB4A,target
Beta defensins,pathway
Defensins,pathway
Antimicrobial peptides,pathway
PI3,target
Keratinization,pathway
Formation of the cornified envelope,pathway
IL36G,target
Interleukin-36 pathway,pathway
JAK1,target
ISG15 antiviral mechanism,pathway
STAT1,target
FGFR1 mutant receptor activation,pathway
