compound,class,vina,MW,logP,HBD,HBA,logKp,topical_favorable
gen_OCF3-p_7-deaz_pyrr_cyclo,TEAD4 SM lead,-7.752,428.4,2.67,1,4,-3.42,True
gen_biphen_7-deaz_pyrr_cyclo,TEAD4 SM lead,-7.662,420.5,3.44,1,3,-2.82,True
gen_pyridy_7-deaz_azet_cyclo,TEAD4 SM lead,-7.61,399.4,1.8,1,4,-3.86,True
"gen_Cl,F-p_7-deaz_pyrr_cyclo",TEAD4 SM lead,-7.509,396.9,2.56,1,3,-3.3,True
gen_pyridy_7-deaz_azet_cyclo,TEAD4 SM lead,-7.485,387.4,1.49,1,4,-4.01,True
gen_SF5-ph_thieno_pipe_acryl,TEAD4 SM lead,-7.456,475.5,5.02,0,4,-2.04,False
gen_pyridy_7-deaz_azet_fluor,TEAD4 SM lead,-7.44,391.3,1.56,1,4,-3.98,True
gen_pyridy_7-deaz_azet_acryl,TEAD4 SM lead,-7.436,373.3,1.26,1,4,-4.08,True
"gen_Cl,F-p_7-deaz_azet_cyclo",TEAD4 SM lead,-7.413,370.8,1.86,1,3,-3.64,True
"gen_Cl,F-p_7-deaz_azet_cyclo",TEAD4 SM lead,-7.409,382.8,2.17,1,3,-3.49,True
AZACITIDINE,de-repression (approved),,244.2,-3.17,4,8,-6.44,False
DECITABINE,de-repression (approved),,228.2,-2.14,3,7,-5.61,False
VORINOSTAT,de-repression (approved),,264.3,2.47,3,3,-2.56,False
TAZEMETOSTAT,de-repression (approved),,635.9,6.19,1,5,-2.19,False
